subject,rule,level,code,n,n_missing,rate,n_bursts,burst_mean,burst_median,burst_max,burst_hist,share_len1,onset,persistence,geom_mean_len,b_over_pi,n00,n01,n10,n11,dispersion
108,ge10,activity,16,485,0,0,0,,,0,0|0|0|0,,0,,,,485,0,0,0,
108,ge10,activity,17,660,1,0.00151515,1,1,1,1,1|0|0|0,1,0.00151745,0,1,0,658,1,1,0,1
108,ge10,activity,24,176,2,0.0113636,2,1,1,1,2|0|0|0,1,0.0114943,0,1,0,172,2,2,0,0.857143
108,ge10,K2,-1,2921,71,0.0243067,56,1.26786,1,6,48|5|2|1,0.857143,0.019656,0.211268,1.26786,8.69173,2793,56,56,15,3.96241
108,ge10,K2,0,2105,4,0.00190024,3,1.33333,1,2,2|1|0|0,0.666667,0.00142789,0.25,1.33333,131.562,2098,3,3,1,1.65359
108,ge10,K2,1,3134,26,0.00829611,25,1.04,1,2,24|1|0|0,0.96,0.00804376,0.0384615,1.04,4.63609,3083,25,25,1,1.60551
108,ge10,K3,-1,2921,71,0.0243067,56,1.26786,1,6,48|5|2|1,0.857143,0.019656,0.211268,1.26786,8.69173,2793,56,56,15,3.96241
108,ge10,K3,0,2105,4,0.00190024,3,1.33333,1,2,2|1|0|0,0.666667,0.00142789,0.25,1.33333,131.562,2098,3,3,1,1.65359
108,ge10,K3,1,2051,17,0.00828864,16,1.0625,1,2,15|1|0|0,0.9375,0.00786627,0.0588235,1.0625,7.09689,2018,16,16,1,1.66544
108,ge10,K3,2,1083,9,0.00831025,9,1,1,1,9|0|0|0,1,0.00837989,0,1,0,1065,9,9,0,1.52288
108,ge10,series,0,8160,101,0.0123775,84,1.20238,1,6,74|7|2|1,0.880952,0.0104244,0.168317,1.20238,13.5987,7974,84,84,17,3.25548
108,any,activity,0,2921,345,0.11811,191,1.80628,1,18,135|34|13|9,0.706806,0.0741748,0.446377,1.80628,3.77932,2384,191,191,154,6.39799
108,any,activity,1,483,2,0.00414079,2,1,1,1,2|0|0|0,1,0.004158,0,1,0,479,2,2,0,
108,any,activity,2,459,6,0.0130719,6,1,1,1,6|0|0|0,1,0.013245,0,1,0,447,6,6,0,1.22857
108,any,activity,3,503,10,0.0198807,9,1.11111,1,2,8|1|0|0,0.888889,0.0182556,0.1,1.11111,5.03,484,9,9,1,0.956522
108,any,activity,4,630,245,0.388889,148,1.65541,1,7,108|13|21|6,0.72973,0.384416,0.395918,1.65541,1.01808,237,148,148,97,1.25143
108,any,activity,5,330,111,0.336364,65,1.70769,1,5,38|16|11|0,0.584615,0.296804,0.414414,1.70769,1.23204,154,65,65,46,2.35375
108,any,activity,6,510,8,0.0156863,8,1,1,1,8|0|0|0,1,0.0159363,0,1,0,494,8,8,0,0.956522
108,any,activity,7,577,91,0.157712,71,1.28169,1,5,58|9|4|0,0.816901,0.146091,0.21978,1.28169,1.39355,415,71,71,20,1.03989
108,any,activity,12,233,0,0,0,,,0,0|0|0|0,,0,,,,233,0,0,0,
108,any,activity,13,193,0,0,0,,,0,0|0|0|0,,0,,,,193,0,0,0,
108,any,activity,16,485,21,0.043299,16,1.3125,1,4,13|2|1|0,0.8125,0.0344828,0.238095,1.3125,5.49887,448,16,16,5,1.94258
108,any,activity,17,660,21,0.0318182,20,1.05,1,2,19|1|0|0,0.95,0.0312989,0.047619,1.05,1.4966,619,20,20,1,1.04301
108,any,activity,24,176,45,0.255682,22,2.04545,1,7,13|4|3|2,0.590909,0.167939,0.511111,2.04545,1.99901,109,22,22,23,1.31746
108,any,K2,-1,2921,345,0.11811,191,1.80628,1,18,135|34|13|9,0.706806,0.0741748,0.446377,1.80628,3.77932,2384,191,191,154,6.39799
108,any,K2,0,2105,39,0.0185273,37,1.05405,1,2,35|2|0|0,0.945946,0.017909,0.0512821,1.05405,2.76792,2029,37,37,2,1.21786
108,any,K2,1,3134,521,0.166241,330,1.57879,1,7,238|44|40|8,0.721212,0.126292,0.366603,1.57879,2.20525,2283,330,330,191,4.25439
108,any,K3,-1,2921,345,0.11811,191,1.80628,1,18,135|34|13|9,0.706806,0.0741748,0.446377,1.80628,3.77932,2384,191,191,154,6.39799
108,any,K3,0,2105,39,0.0185273,37,1.05405,1,2,35|2|0|0,0.945946,0.017909,0.0512821,1.05405,2.76792,2029,37,37,2,1.21786
108,any,K3,1,2051,274,0.133593,172,1.59302,1,7,129|15|22|6,0.75,0.0967923,0.372263,1.59302,2.78654,1605,172,172,102,5.68834
108,any,K3,2,1083,247,0.22807,158,1.56329,1,7,109|29|18|2,0.689873,0.188995,0.360324,1.56329,1.57988,678,158,158,89,2.2033
108,any,series,0,8160,905,0.110907,558,1.62186,1,18,408|80|53|17,0.731183,0.0769231,0.383425,1.62186,3.45718,6696,558,558,347,5.53576
105,ge10,activity,0,2047,3,0.00146556,2,1.5,1.5,2,1|1|0|0,0.5,0.000978953,0.333333,1.5,227.444,2041,2,2,1,1.65217
105,ge10,activity,1,474,1,0.0021097,1,1,1,1,1|0|0|0,1,0.00211416,0,1,0,472,1,1,0,
105,ge10,activity,2,537,2,0.00372439,2,1,1,1,2|0|0|0,1,0.00373832,0,1,0,533,2,2,0,0.96
105,ge10,activity,3,443,0,0,0,,,0,0|0|0|0,,0,,,,443,0,0,0,
105,ge10,activity,4,641,87,0.135725,58,1.5,1,8,44|7|5|2,0.758621,0.104693,0.333333,1.5,2.45594,496,58,58,29,5.59234
105,ge10,activity,5,492,3,0.00609756,3,1,1,1,3|0|0|0,1,0.00613497,0,1,0,486,3,3,0,1.6087
105,ge10,activity,6,492,0,0,0,,,0,0|0|0|0,,0,,,,492,0,0,0,
105,ge10,activity,7,526,2,0.00380228,2,1,1,1,2|0|0|0,1,0.00381679,0,1,0,522,2,2,0,1
105,ge10,activity,12,285,0,0,0,,,0,0|0|0|0,,0,,,,285,0,0,0,
105,ge10,activity,13,255,0,0,0,,,0,0|0|0|0,,0,,,,255,0,0,0,
105,ge10,activity,16,489,0,0,0,,,0,0|0|0|0,,0,,,,489,0,0,0,
105,ge10,activity,17,660,2,0.0030303,1,2,2,2,0|1|0|0,0,0.00151976,0.5,2,165,657,1,1,1,2
105,ge10,activity,24,154,0,0,0,,,0,0|0|0|0,,0,,,,154,0,0,0,
105,ge10,K2,-1,2047,3,0.00146556,2,1.5,1.5,2,1|1|0|0,0.5,0.000978953,0.333333,1.5,227.444,2041,2,2,1,1.65217
105,ge10,K2,0,2114,5,0.00236518,4,1.25,1,2,3|1|0|0,0.75,0.00189663,0.2,1.25,84.56,2105,4,4,1,1.47573
105,ge10,K2,1,3334,92,0.0275945,63,1.46032,1,8,49|7|5|2,0.777778,0.0194324,0.315217,1.46032,11.4232,3179,63,63,29,7.39053
105,ge10,K3,-1,2047,3,0.00146556,2,1.5,1.5,2,1|1|0|0,0.5,0.000978953,0.333333,1.5,227.444,2041,2,2,1,1.65217
105,ge10,K3,0,2114,5,0.00236518,4,1.25,1,2,3|1|0|0,0.75,0.00189663,0.2,1.25,84.56,2105,4,4,1,1.47573
105,ge10,K3,1,2162,87,0.0402405,58,1.5,1,8,44|7|5|2,0.758621,0.0279518,0.333333,1.5,8.28352,2017,58,58,29,7.43837
105,ge10,K3,2,1172,5,0.00426621,5,1,1,1,5|0|0|0,1,0.00428449,0,1,0,1162,5,5,0,1.4537
105,ge10,series,0,7495,100,0.0133422,69,1.44928,1,8,53|9|5|2,0.768116,0.00933189,0.31,1.44928,23.2345,7325,69,69,31,7.09158
105,any,activity,0,2047,66,0.0322423,57,1.15789,1,3,51|3|3|0,0.894737,0.0287879,0.136364,1.15789,4.22934,1923,57,57,9,1.6087
105,any,activity,1,474,4,0.00843882,4,1,1,1,4|0|0|0,1,0.00851064,0,1,0,466,4,4,0,0.909091
105,any,activity,2,537,4,0.00744879,3,1.33333,1,2,2|1|0|0,0.666667,0.00562852,0.25,1.33333,33.5625,530,3,3,1,1.92
105,any,activity,3,443,5,0.0112867,5,1,1,1,5|0|0|0,1,0.0114155,0,1,0,433,5,5,0,0.8
105,any,activity,4,641,278,0.433697,111,2.5045,1,12,61|18|19|13,0.54955,0.305785,0.600719,2.5045,1.38511,252,111,111,167,3.57329
105,any,activity,5,492,30,0.0609756,25,1.2,1,4,23|0|2|0,0.92,0.0541126,0.166667,1.2,2.73333,437,25,25,5,2.24348
105,any,activity,6,492,7,0.0142276,5,1.4,1,3,4|0|1|0,0.8,0.0103093,0.285714,1.4,20.0816,480,5,5,2,1.93168
105,any,activity,7,526,45,0.0855513,36,1.25,1,4,30|4|2|0,0.833333,0.0748441,0.2,1.25,2.33778,445,36,36,9,4.08523
105,any,activity,12,285,5,0.0175439,5,1,1,1,5|0|0|0,1,0.0178571,0,1,0,275,5,5,0,0.636364
105,any,activity,13,255,4,0.0156863,4,1,1,1,4|0|0|0,1,0.0159363,0,1,0,247,4,4,0,0.8
105,any,activity,16,489,5,0.0102249,5,1,1,1,5|0|0|0,1,0.0103306,0,1,0,479,5,5,0,2.43182
105,any,activity,17,660,16,0.0242424,15,1.06667,1,2,14|1|0|0,0.933333,0.0232919,0.0625,1.06667,2.57812,629,15,15,1,1.23656
105,any,activity,24,154,21,0.136364,15,1.4,1,3,10|4|1|0,0.666667,0.112782,0.285714,1.4,2.09524,118,15,15,6,0.92
105,any,K2,-1,2047,66,0.0322423,57,1.15789,1,3,51|3|3|0,0.894737,0.0287879,0.136364,1.15789,4.22934,1923,57,57,9,1.6087
105,any,K2,0,2114,29,0.0137181,27,1.07407,1,2,25|2|0|0,0.925926,0.0129496,0.0689655,1.07407,5.02735,2058,27,27,2,1.27113
105,any,K2,1,3334,395,0.118476,206,1.91748,1,12,142|26|25|13,0.68932,0.0700919,0.478481,1.91748,4.03862,2733,206,206,189,7.64059
105,any,K3,-1,2047,66,0.0322423,57,1.15789,1,3,51|3|3|0,0.894737,0.0287879,0.136364,1.15789,4.22934,1923,57,57,9,1.6087
105,any,K3,0,2114,29,0.0137181,27,1.07407,1,2,25|2|0|0,0.925926,0.0129496,0.0689655,1.07407,5.02735,2058,27,27,2,1.27113
105,any,K3,1,2162,299,0.138298,130,2.3,1,12,79|18|20|13,0.607692,0.0697799,0.565217,2.3,4.08696,1733,130,130,169,8.8947
105,any,K3,2,1172,96,0.0819113,76,1.26316,1,4,63|8|5|0,0.828947,0.070632,0.208333,1.26316,2.5434,1000,76,76,20,2.94091
105,any,series,0,7495,490,0.0653769,290,1.68966,1,12,218|31|28|13,0.751724,0.0414049,0.408163,1.68966,6.24323,6714,290,290,200,7.10365
